ApplicantReceiverID,ApplicantID,ReceiverID,ApplicantPreference,ReceiverPoints
1,1,1,1,5
2,1,2,7,5
3,1,3,3,5
4,1,4,2,3
5,1,5,6,7
6,1,6,8,5
7,1,7,4,5
8,1,8,9,7
9,1,9,5,5
10,2,1,5,5
11,2,2,9,5
12,2,3,1,5
13,2,4,2,5
14,2,5,6,6
15,2,6,7,5
16,2,7,3,5
17,2,8,4,6
18,2,9,8,5
19,3,1,3,5
20,3,2,4,5
21,3,3,6,5
22,3,4,5,5
23,3,5,8,9
24,3,6,9,5
25,3,7,2,5
26,3,8,1,10
27,3,9,7,5
28,4,1,1,5
29,4,2,8,5
30,4,3,5,9
31,4,4,4,6
32,4,5,6,1
33,4,6,9,5
34,4,7,2,5
35,4,8,3,6
36,4,9,7,5
37,5,1,1,5
38,5,2,7,5
39,5,3,6,10
40,5,4,5,10
41,5,5,8,1
42,5,6,9,5
43,5,7,2,5
44,5,8,3,6
45,5,9,4,5
46,6,1,2,5
47,6,2,6,5
48,6,3,8,5
49,6,4,1,4
50,6,5,7,3
51,6,6,9,5
52,6,7,4,5
53,6,8,3,6
54,6,9,5,5
55,7,1,1,5
56,7,2,7,5
57,7,3,8,10
58,7,4,4,6
59,7,5,6,1
60,7,6,9,5
61,7,7,3,5
62,7,8,2,6
63,7,9,5,5
64,8,1,4,5
65,8,2,9,5
66,8,3,2,5
67,8,4,6,7
68,8,5,7,5
69,8,6,8,5
70,8,7,3,5
71,8,8,5,8
72,8,9,1,5
73,9,1,2,5
74,9,2,8,5
75,9,3,5,5
76,9,4,6,5
77,9,5,4,8
78,9,6,7,5
79,9,7,1,5
80,9,8,3,8
81,9,9,9,5
82,10,1,8,5
83,10,2,1,5
84,10,3,6,5
85,10,4,7,6
86,10,5,5,7
87,10,6,9,5
88,10,7,2,5
89,10,8,3,7
90,10,9,4,5
91,11,1,3,5
92,11,2,9,5
93,11,3,1,5
94,11,4,5,6
95,11,5,7,1
96,11,6,6,5
97,11,7,4,5
98,11,8,2,7
99,11,9,8,5
100,12,1,1,5
101,12,2,7,5
102,12,3,5,5
103,12,4,4,9
104,12,5,9,1
105,12,6,8,5
106,12,7,2,5
107,12,8,3,8
108,12,9,6,5
109,13,1,3,5
110,13,2,8,5
111,13,3,9,10
112,13,4,4,4
113,13,5,7,1
114,13,6,2,5
115,13,7,1,5
116,13,8,5,6
117,13,9,6,5
118,14,1,2,5
119,14,2,7,5
120,14,3,4,10
121,14,4,5,6
122,14,5,9,1
123,14,6,8,5
124,14,7,1,5
125,14,8,3,10
126,14,9,6,5
127,15,1,1,5
128,15,2,9,5
129,15,3,5,5
130,15,4,4,7
131,15,5,6,7
132,15,6,7,5
133,15,7,3,5
134,15,8,2,8
135,15,9,8,5
136,16,1,7,5
137,16,2,5,5
138,16,3,8,10
139,16,4,9,3
140,16,5,2,1
141,16,6,4,5
142,16,7,6,5
143,16,8,1,9
144,16,9,3,5
145,17,1,7,5
146,17,2,9,5
147,17,3,1,5
148,17,4,8,4
149,17,5,5,6
150,17,6,3,5
151,17,7,6,5
152,17,8,4,10
153,17,9,2,5
154,18,1,5,5
155,18,2,1,5
156,18,3,3,5
157,18,4,8,4
158,18,5,9,6
159,18,6,7,5
160,18,7,2,5
161,18,8,4,10
162,18,9,6,5
163,19,1,5,5
164,19,2,2,5
165,19,3,1,10
166,19,4,7,5
167,19,5,4,8
168,19,6,9,5
169,19,7,8,5
170,19,8,3,7
171,19,9,6,5
172,20,1,3,5
173,20,2,4,5
174,20,3,7,5
175,20,4,6,5
176,20,5,5,9
177,20,6,8,5
178,20,7,1,5
179,20,8,9,7
180,20,9,2,5
181,21,1,8,5
182,21,2,5,5
183,21,3,1,5
184,21,4,4,6
185,21,5,2,3
186,21,6,6,5
187,21,7,9,5
188,21,8,7,6
189,21,9,3,5
190,22,1,1,5
191,22,2,7,5
192,22,3,8,5
193,22,4,6,4
194,22,5,3,5
195,22,6,2,5
196,22,7,5,5
197,22,8,9,6
198,22,9,4,5
199,23,1,7,5
200,23,2,2,5
201,23,3,1,5
202,23,4,6,5
203,23,5,5,3
204,23,6,8,5
205,23,7,9,5
206,23,8,3,6
207,23,9,4,5
208,24,1,6,5
209,24,2,8,5
210,24,3,2,5
211,24,4,1,6
212,24,5,4,7
213,24,6,9,5
214,24,7,5,5
215,24,8,3,9
