ApplicantReceiverID;ApplicantID;ReceiverID;ApplicantPreference;ReceiverPoints;PairedReceiver;Matched;ApplicantID2;ReceiverID2;ApplicantPreference2
1;1;1;0;5;1;1;1;1001;1
2;1;2;6;5;1;0;1;1002;7
3;1;3;2;5;1;0;1;1003;3
4;1;4;1;3;1;0;1;1004;2
5;1;5;5;7;1;0;1;1005;6
6;1;6;7;5;1;0;1;1006;8
7;1;7;3;5;1;0;1;1007;4
8;1;8;8;7;1;0;1;1008;9
9;1;9;4;5;1;0;1;1009;5
10;2;1;4;5;3;0;2;1001;5
11;2;2;8;5;3;0;2;1002;9
12;2;3;0;5;3;1;2;1003;1
13;2;4;1;5;3;0;2;1004;2
14;2;5;5;6;3;0;2;1005;6
15;2;6;6;5;3;0;2;1006;7
16;2;7;2;5;3;0;2;1007;3
17;2;8;3;6;3;0;2;1008;4
18;2;9;7;5;3;0;2;1009;8
19;3;1;2;5;8;0;3;1001;3
20;3;2;3;5;8;0;3;1002;4
21;3;3;5;5;8;0;3;1003;6
22;3;4;4;5;8;0;3;1004;5
23;3;5;7;9;8;0;3;1005;8
24;3;6;8;5;8;0;3;1006;9
25;3;7;1;5;8;0;3;1007;2
26;3;8;0;10;8;1;3;1008;1
27;3;9;6;5;8;0;3;1009;7
28;4;1;0;5;1;1;4;1001;1
29;4;2;7;5;1;0;4;1002;8
30;4;3;4;9;1;0;4;1003;5
31;4;4;3;6;1;0;4;1004;4
32;4;5;5;1;1;0;4;1005;6
33;4;6;8;5;1;0;4;1006;9
34;4;7;1;5;1;0;4;1007;2
35;4;8;2;6;1;0;4;1008;3
36;4;9;6;5;1;0;4;1009;7
37;5;1;0;5;7;0;5;1001;1
38;5;2;6;5;7;0;5;1002;7
39;5;3;5;10;7;0;5;1003;6
40;5;4;4;10;7;0;5;1004;5
41;5;5;7;1;7;0;5;1005;8
42;5;6;8;5;7;0;5;1006;9
43;5;7;1;5;7;1;5;1007;2
44;5;8;2;6;7;0;5;1008;3
45;5;9;3;5;7;0;5;1009;4
46;6;1;1;5;1;1;6;1001;2
47;6;2;5;5;1;0;6;1002;6
48;6;3;7;5;1;0;6;1003;8
49;6;4;0;4;1;0;6;1004;1
50;6;5;6;3;1;0;6;1005;7
51;6;6;8;5;1;0;6;1006;9
52;6;7;3;5;1;0;6;1007;4
53;6;8;2;6;1;0;6;1008;3
54;6;9;4;5;1;0;6;1009;5
55;7;1;0;5;1;1;7;1001;1
56;7;2;6;5;1;0;7;1002;7
57;7;3;7;10;1;0;7;1003;8
58;7;4;3;6;1;0;7;1004;4
59;7;5;5;1;1;0;7;1005;6
60;7;6;8;5;1;0;7;1006;9
61;7;7;2;5;1;0;7;1007;3
62;7;8;1;6;1;0;7;1008;2
63;7;9;4;5;1;0;7;1009;5
64;8;1;3;5;9;0;8;1001;4
65;8;2;8;5;9;0;8;1002;9
66;8;3;1;5;9;0;8;1003;2
67;8;4;5;7;9;0;8;1004;6
68;8;5;6;5;9;0;8;1005;7
69;8;6;7;5;9;0;8;1006;8
70;8;7;2;5;9;0;8;1007;3
71;8;8;4;8;9;0;8;1008;5
72;8;9;0;5;9;1;8;1009;1
73;9;1;1;5;7;0;9;1001;2
74;9;2;7;5;7;0;9;1002;8
75;9;3;4;5;7;0;9;1003;5
76;9;4;5;5;7;0;9;1004;6
77;9;5;3;8;7;0;9;1005;4
78;9;6;6;5;7;0;9;1006;7
79;9;7;0;5;7;1;9;1007;1
80;9;8;2;8;7;0;9;1008;3
81;9;9;8;5;7;0;9;1009;9
82;10;1;7;5;2;0;10;1001;8
83;10;2;0;5;2;1;10;1002;1
84;10;3;5;5;2;0;10;1003;6
85;10;4;6;6;2;0;10;1004;7
86;10;5;4;7;2;0;10;1005;5
87;10;6;8;5;2;0;10;1006;9
88;10;7;1;5;2;0;10;1007;2
89;10;8;2;7;2;0;10;1008;3
90;10;9;3;5;2;0;10;1009;4
91;11;1;2;5;3;0;11;1001;3
92;11;2;8;5;3;0;11;1002;9
93;11;3;0;5;3;1;11;1003;1
94;11;4;4;6;3;0;11;1004;5
95;11;5;6;1;3;0;11;1005;7
96;11;6;5;5;3;0;11;1006;6
97;11;7;3;5;3;0;11;1007;4
98;11;8;1;7;3;0;11;1008;2
99;11;9;7;5;3;0;11;1009;8
100;12;1;0;5;4;0;12;1001;1
101;12;2;6;5;4;0;12;1002;7
102;12;3;4;5;4;0;12;1003;5
103;12;4;3;9;4;1;12;1004;4
104;12;5;8;1;4;0;12;1005;9
105;12;6;7;5;4;0;12;1006;8
106;12;7;1;5;4;0;12;1007;2
107;12;8;2;8;4;0;12;1008;3
108;12;9;5;5;4;0;12;1009;6
109;13;1;2;5;6;0;13;1001;3
110;13;2;7;5;6;0;13;1002;8
111;13;3;8;10;6;0;13;1003;9
112;13;4;3;4;6;0;13;1004;4
113;13;5;6;1;6;0;13;1005;7
114;13;6;1;5;6;1;13;1006;2
115;13;7;0;5;6;0;13;1007;1
116;13;8;4;6;6;0;13;1008;5
117;13;9;5;5;6;0;13;1009;6
118;14;1;1;5;7;0;14;1001;2
119;14;2;6;5;7;0;14;1002;7
120;14;3;3;10;7;0;14;1003;4
121;14;4;4;6;7;0;14;1004;5
122;14;5;8;1;7;0;14;1005;9
123;14;6;7;5;7;0;14;1006;8
124;14;7;0;5;7;1;14;1007;1
125;14;8;2;10;7;0;14;1008;3
126;14;9;5;5;7;0;14;1009;6
